iter	Passed	Remaining
407	932	1352
408	933	1348
409	934	1344
410	935	1341
411	938	1339
412	940	1336
413	942	1333
414	943	1330
415	945	1326
416	946	1323
417	947	1319
418	949	1316
419	950	1312
420	951	1308
421	954	1307
422	955	1303
423	957	1300
424	958	1296
425	959	1293
426	960	1289
427	962	1285
428	963	1282
429	964	1278
430	966	1275
431	967	1272
432	969	1269
433	970	1265
434	971	1262
435	973	1258
436	974	1255
437	989	1269
438	992	1267
439	996	1268
440	1001	1269
441	1003	1267
442	1006	1265
443	1009	1264
444	1012	1262
445	1021	1268
446	1026	1270
447	1029	1268
448	1034	1269
449	1049	1283
450	1072	1305
451	1075	1304
452	1077	1301
453	1091	1312
454	1093	1309
455	1097	1308
456	1098	1305
457	1101	1303
458	1103	1300
459	1105	1298
460	1107	1295
461	1109	1291
462	1119	1298
463	1121	1295
464	1123	1292
465	1129	1294
466	1132	1292
467	1135	1290
468	1137	1288
469	1146	1293
470	1151	1292
471	1154	1291
472	1160	1292
473	1162	1290
474	1168	1290
475	1172	1290
476	1175	1289
477	1178	1287
478	1181	1284
479	1185	1284
480	1189	1283
481	1194	1283
482	1197	1281
483	1200	1279
484	1207	1282
485	1211	1281
486	1216	1281
487	1221	1281
488	1225	1280
489	1228	1278
490	1231	1276
491	1275	1317
492	1277	1314
493	1338	1371
494	1341	1368
495	1343	1365
496	1345	1361
497	1348	1358
498	1352	1357
499	1357	1357
500	1360	1355
501	1368	1357
502	1416	1399
503	1419	1396
504	1420	1392
505	1422	1389
506	1425	1385
507	1427	1382
508	1429	1379
509	1434	1378
510	1437	1375
511	1439	1371
512	1441	1368
513	1443	1364
514	1445	1360
515	1490	1398
516	1492	1394
517	1497	1393
518	1499	1389
519	1501	1386
520	1505	1384
521	1509	1381
522	1513	1380
523	1515	1376
524	1518	1374
525	1521	1371
526	1524	1368
527	1563	1397
528	1566	1394
529	1569	1392
530	1573	1390
531	1594	1402
532	1597	1399
533	1599	1395
534	1602	1392
535	1604	1389
536	1608	1387
537	1611	1383
538	1660	1420
539	1662	1416
540	1667	1414
541	1670	1411
542	1674	1409
543	1679	1408
544	1682	1404
545	1684	1400
546	1688	1398
547	1693	1396
548	1697	1394
549	1700	1391
550	1711	1394
551	1714	1391
552	1727	1396
553	1732	1394
554	1741	1396
555	1747	1395
556	1759	1399
557	1779	1409
558	1788	1410
559	1792	1408
560	1795	1404
561	1798	1401
562	1803	1399
563	1806	1396
564	1808	1392
565	1810	1388
566	1812	1384
567	1816	1381
568	1820	1378
569	1823	1375
570	1826	1372
571	1828	1368
572	1833	1366
573	1836	1363
574	1839	1359
575	1841	1355
576	1851	1357
577	1854	1354
578	1857	1350
579	1862	1349
580	1865	1345
581	1867	1341
582	1871	1338
583	1874	1335
584	1878	1332
585	1881	1329
586	1884	1325
587	1886	1321
588	1888	1317
589	1890	1313
590	1894	1310
591	1896	1306
592	1898	1303
593	1900	1299
594	1902	1295
595	1905	1291
596	1909	1289
597	1912	1285
598	1915	1282
599	1917	1278
600	1920	1274
601	1925	1272
602	1927	1269
603	1929	1265
604	1932	1261
605	1935	1258
606	1943	1258
607	1945	1254
608	1948	1250
609	1950	1247
610	1955	1245
611	1959	1242
612	1962	1238
613	1964	1234
614	1966	1231
615	1970	1228
616	1972	1224
617	1974	1220
618	1975	1216
619	1978	1212
620	1980	1208
621	1982	1205
622	1989	1204
623	1992	1200
624	2001	1201
625	2010	1200
626	2013	1197
627	2017	1195
628	2019	1191
629	2021	1187
630	2022	1182
631	2024	1178
632	2026	1174
633	2028	1170
634	2032	1168
635	2034	1164
636	2036	1160
637	2040	1157
638	2048	1157
639	2052	1154
640	2058	1152
641	2062	1150
642	2068	1148
643	2070	1144
644	2072	1140
645	2074	1136
646	2079	1134
647	2082	1131
648	2086	1128
649	2088	1124
650	2093	1122
651	2097	1119
652	2099	1115
653	2102	1112
654	2104	1108
655	2107	1105
656	2111	1102
657	2112	1098
658	2115	1094
659	2116	1090
660	2118	1086
661	2119	1082
662	2122	1079
663	2124	1075
664	2126	1071
665	2127	1067
666	2129	1062
667	2130	1058
668	2131	1054
669	2133	1050
670	2134	1046
671	2137	1043
672	2139	1039
673	2140	1035
674	2141	1031
675	2143	1027
676	2144	1023
677	2145	1019
678	2146	1014
679	2148	1010
680	2149	1006
681	2152	1003
682	2153	999
683	2154	995
684	2156	991
685	2157	987
686	2158	983
687	2159	979
688	2160	975
689	2162	971
690	2163	967
691	2164	963
692	2167	960
693	2168	956
694	2169	952
695	2170	948
696	2171	944
697	2173	940
698	2174	936
699	2175	932
700	2176	928
701	2177	924
702	2178	920
703	2181	917
704	2183	913
705	2184	909
706	2185	905
707	2186	901
708	2187	898
709	2189	894
710	2190	890
711	2191	886
712	2192	882
713	2193	878
714	2195	874
715	2197	871
716	2198	867
717	2199	863
718	2200	859
719	2201	856
720	2202	852
721	2203	848
722	2204	844
723	2206	841
724	2207	837
725	2208	833
726	2210	830
727	2212	826
728	2213	822
729	2215	819
730	2216	815
731	2217	811
732	2218	808
733	2219	804
734	2220	800
735	2222	797
736	2223	793
737	2224	789
738	2226	786
739	2228	782
740	2229	779
741	2230	775
742	2231	771
743	2232	768
744	2233	764
745	2234	760
746	2236	757
747	2237	753
748	2238	750
749	2239	746
750	2241	743
751	2242	739
752	2244	736
753	2245	732
754	2247	729
755	2248	725
756	2249	722
757	2250	718
758	2252	715
759	2253	711
760	2256	708
761	2257	705
762	2259	701
763	2260	698
764	2262	694
765	2263	691
766	2264	687
767	2265	684
768	2266	680
769	2268	677
770	2269	674
771	2271	670
772	2273	667
773	2274	664
774	2276	660
775	2277	657
776	2278	653
777	2279	650
778	2281	647
779	2282	643
780	2284	640
781	2286	637
782	2288	634
783	2290	630
784	2291	627
785	2293	624
786	2294	620
787	2295	617
788	2296	614
789	2298	610
790	2301	607
791	2303	604
792	2304	601
793	2307	598
794	2311	596
795	2314	593
796	2318	590
797	2320	587
798	2322	584
799	2324	581
800	2325	577
801	2327	574
802	2328	571
803	2331	568
804	2332	565
805	2334	561
806	2335	558
807	2337	555
808	2338	552
809	2339	548
810	2341	545
811	2342	542
812	2343	539
813	2346	536
814	2347	532
815	2348	529
816	2350	526
817	2351	523
818	2352	519
819	2353	516
820	2354	513
821	2356	510
822	2357	506
823	2358	503
824	2360	500
825	2362	497
826	2363	494
827	2364	491
828	2365	487
829	2366	484
830	2368	481
831	2369	478
832	2370	475
833	2371	472
834	2372	468
835	2375	466
836	2376	462
837	2378	459
838	2379	456
839	2380	453
840	2381	450
841	2382	447
842	2383	443
843	2384	440
844	2386	437
845	2387	434
846	2388	431
847	2390	428
848	2392	425
849	2393	422
850	2394	419
851	2395	416
852	2396	413
853	2397	409
854	2399	406
855	2400	403
856	2401	400
857	2402	397
858	2404	394
859	2406	391
860	2407	388
861	2409	385
862	2410	382
863	2411	379
864	2413	376
865	2414	373
866	2415	370
867	2416	367
868	2419	364
869	2421	361
870	2422	358
871	2424	355
872	2425	352
873	2427	349
874	2428	346
875	2429	343
876	2431	340
877	2434	338
878	2436	335
879	2438	332
880	2440	329
881	2441	326
882	2443	323
883	2444	320
884	2445	317
885	2447	314
886	2450	312
887	2452	309
888	2454	306
889	2455	303
890	2456	300
891	2458	297
892	2459	294
893	2460	291
894	2462	288
895	2465	286
896	2467	283
897	2468	280
898	2469	277
899	2470	274
900	2471	271
901	2473	268
902	2474	265
903	2475	262
904	2478	260
905	2480	257
906	2482	254
907	2483	251
908	2485	248
909	2487	245
910	2488	243
911	2491	240
912	2495	237
913	2497	234
914	2499	232
915	2500	229
916	2502	226
917	2503	223
918	2505	220
919	2506	217
920	2511	215
921	2513	212
922	2514	209
923	2517	207
924	2519	204
925	2520	201
926	2521	198
927	2526	196
928	2528	193
929	2530	190
930	2531	187
931	2533	184
932	2535	182
933	2537	179
934	2540	176
935	2555	174
936	2560	172
937	2563	169
938	2566	166
939	2572	164
940	2575	161
941	2578	158
942	2580	155
943	2596	154
944	2599	151
945	2601	148
946	2605	145
947	2608	143
948	2613	140
949	2616	137
950	2618	134
951	2621	132
952	2623	129
953	2627	126
954	2631	123
955	2634	121
956	2636	118
957	2641	115
958	2645	113
959	2647	110
960	2649	107
961	2650	104
962	2652	101
963	2659	99
964	2661	96
965	2663	93
966	2664	90
967	2666	88
968	2667	85
969	2669	82
970	2672	79
971	2673	77
972	2675	74
973	2677	71
974	2678	68
975	2679	65
976	2681	63
977	2682	60
978	2686	57
979	2687	54
980	2689	52
981	2690	49
982	2691	46
983	2693	43
984	2694	41
985	2695	38
986	2697	35
987	2698	32
988	2701	30
989	2702	27
990	2703	24
991	2704	21
992	2706	19
993	2707	16
994	2708	13
995	2710	10
996	2711	8
997	2713	5
998	2715	2
999	2717	0
